No,DateTime,Device Name,Location,Energy Consumption (kWh)
707,25/12/25,GG_L4_WT_AHU,WT-AHU,611041.92
694,25/12/25,GG_L5_WB_AHU,WB-AHU,480758.4
718,25/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1140033.81
708,25/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,775520.4
738,25/12/25,GG_L6_WB_AHU,WB-AHU,445366.8
794,26/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,493777.12
789,26/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,712109.5
773,26/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1079416.91
754,26/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,812274.69
762,26/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,864787.43
778,26/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
749,26/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,452084.32
755,26/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7821632.69
800,26/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,691762.45
772,26/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,926363.94
760,26/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2413023.85
747,26/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,2568139.84
780,26/12/25,GG_L2_R Panel-SDP PP,R Panel,960899.88
741,26/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,862465.71
751,26/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1182136.2
766,26/12/25,GG_L3_WB_AHU,WB-AHU,506547.82
753,26/12/25,GG_L3_WT_AHU,WT-AHU,513729.05
779,26/12/25,GG_L4_WB_AHU,WB-AHU,655360.39
742,26/12/25,GG_L4_WT_AHU,WT-AHU,611041.92
788,26/12/25,GG_L5_WB_AHU,WB-AHU,397148.24
797,26/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1458257.58
776,26/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,776165.9
745,26/12/25,GG_L6_WB_AHU,WB-AHU,445366.8
830,27/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,494275.95
812,27/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,712671.5
808,27/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1460946.61
848,27/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,854204.49
844,27/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,746861.87
861,27/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,39775.52
831,27/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,373460.96
837,27/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8965403.95
847,27/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1040035.73
855,27/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1394377.66
854,27/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2986365.23
841,27/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,3542088.94
815,27/12/25,GG_L2_R Panel-SDP PP,R Panel,1375798.69
835,27/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,1091512.82
846,27/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1730144.11
849,27/12/25,GG_L3_WB_AHU,WB-AHU,506574.04
836,27/12/25,GG_L3_WT_AHU,WT-AHU,513729.05
803,27/12/25,GG_L4_WB_AHU,WB-AHU,688128.41
824,27/12/25,GG_L4_WT_AHU,WT-AHU,585581.84
811,27/12/25,GG_L5_WB_AHU,WB-AHU,459855.86
822,27/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1332836.38
858,27/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,813768.2
827,27/12/25,GG_L6_WB_AHU,WB-AHU,467635.14
879,28/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,494753.2
920,28/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,713247.2
917,28/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1270833.57
898,28/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,611182.26
866,28/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,825478.91
909,28/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
913,28/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,452084.32
886,28/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8246670.89
883,28/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1389968.28
890,28/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,2099804.28
904,28/12/25,GG_L2_R Panel-SDP DB LED,R Panel,3134250.05
891,28/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4524296.39
864,28/12/25,GG_L2_R Panel-SDP PP,R Panel,1792522.95
885,28/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,911320.16
895,28/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1185877.56
872,28/12/25,GG_L3_WB_AHU,WB-AHU,529626.67
919,28/12/25,GG_L3_WT_AHU,WT-AHU,490377.73
884,28/12/25,GG_L4_WB_AHU,WB-AHU,786432.47
906,28/12/25,GG_L4_WT_AHU,WT-AHU,585581.84
893,28/12/25,GG_L5_WB_AHU,WB-AHU,459855.86
916,28/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1334307.4
907,28/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,814385.02
876,28/12/25,GG_L6_WB_AHU,WB-AHU,512171.82
947,29/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,495593.48
928,29/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,714421.46
924,29/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1209069.69
965,29/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,734898.88
948,29/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,787386.61
977,29/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
934,29/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,354321.73
954,29/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7521835.41
951,29/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,871022.34
